gene	logFC	logCPM	PValue	FDR
Solyc00g005000	0	-1.66887626930952	1	1
Solyc00g005020	-1.87000802792035	-1.55254221346359	0.999999999999995	1
Solyc00g005040	-0.130232449652413	0.631382400199529	0.811472899900701	1
Solyc00g005050	-0.150153294604357	5.79456347996473	0.436732454707366	0.881153146329462
Solyc00g005060	0	-1.66887626930952	1	1
Solyc00g005070	0	-1.66887626930952	1	1
Solyc00g005080	-0.903911901976661	-0.210285044758303	0.291247337295295	0.642657661853711
Solyc00g005090	0	-1.66887626930952	1	1
Solyc00g005100	0	-1.66887626930952	1	1
Solyc00g005110	-1.86660368245862	-1.55281258034706	1	1
Solyc00g005120	-3.42044728248682	-1.26025366028726	0.203241579005408	0.487395229205221
Solyc00g005130	-4.51639268591507	-0.926643705310994	0.02163376240365	0.0744722112402413
Solyc00g005140	-4.90283625366163	-0.731284329813276	0.00231185488524604	0.0104034967733497
Solyc00g005150	-0.760142749750192	0.975474562809653	0.201079369334652	0.483478727333966
Solyc00g005160	0	-1.66887626930952	1	1
Solyc00g005170	0	-1.66887626930952	1	1
Solyc00g005180	0	-1.66887626930952	1	1
Solyc00g005280	0	-1.66887626930952	1	1
Solyc00g005420	0	-1.66887626930952	1	1
Solyc00g005430	0	-1.66887626930952	1	1
Solyc00g005440	1.15665894855673	-0.608857007878426	0.309278283119037	0.675029808865865
Solyc00g005450	0	-1.66887626930952	1	1
Solyc00g005460	0	-1.66887626930952	1	1
Solyc00g005470	0	-1.66887626930952	1	1
Solyc00g005480	0	-1.66887626930952	1	1
Solyc00g005490	0	-1.66887626930952	1	1
Solyc00g005840	1.65862460675805	2.49798246540466	0.000181301963549072	0.00105479532386809
Solyc00g005850	0	-1.66887626930952	1	1
Solyc00g005860	0.0697111824559272	-1.25772663456769	1	1
Solyc00g005870	0.52291447176299	-1.16579388224442	1	1
Solyc00g005880	0	-1.66887626930952	1	1
Solyc00g005890	0	-1.66887626930952	1	1
Solyc00g005900	0	-1.66887626930952	1	1
Solyc00g005980	0	-1.66887626930952	1	1
Solyc00g006010	0	-1.66887626930952	1	1
Solyc00g006020	0	-1.66887626930952	1	1
Solyc00g006050	0	-1.66887626930952	1	1
Solyc00g006090	0	-1.66887626930952	1	1
Solyc00g006170	0	-1.66887626930952	1	1
Solyc00g006250	0	-1.66887626930952	1	1
Solyc00g006470	0	-1.66887626930952	1	1
Solyc00g006480	1.88591511917449	-1.55374345716886	1	1
Solyc00g006490	0.129677680519906	5.94973376155047	0.49546946208993	0.970181449675613
Solyc00g006500	0	-1.66887626930952	1	1
Solyc00g006510	0	-1.66887626930952	1	1
Solyc00g006520	0	-1.66887626930952	1	1
Solyc00g006530	0	-1.66887626930952	1	1
Solyc00g006540	0	-1.66887626930952	1	1
Solyc00g006550	0	-1.66887626930952	1	1
Solyc00g006560	1.88585915921637	-1.55374345716886	0.999999999999999	1
Solyc00g006570	0	-1.66887626930952	1	1
Solyc00g006590	0	-1.66887626930952	1	1
Solyc00g006600	0.194992872214296	-0.39445886975893	0.999999999999999	1
Solyc00g006630	0	-1.66887626930952	1	1
Solyc00g006650	0	-1.66887626930952	1	1
Solyc00g006660	0	-1.66887626930952	1	1
Solyc00g006670	0	-1.66887626930952	1	1
Solyc00g006680	0	-1.66887626930952	1	1
Solyc00g006690	0	-1.66887626930952	1	1
Solyc00g006700	0	-1.66887626930952	1	1
Solyc00g006800	0.148773691258903	7.20630273299482	0.42025635652659	0.855214913161377
Solyc00g006810	-0.966981369685042	3.92587843798627	0.000634933218748801	0.00328113270350257
Solyc00g006820	-0.33558918079644	0.378473919773808	0.730896757342647	1
Solyc00g006830	0.162103848101433	4.87030303194701	0.423298996247559	0.859794364080773
Solyc00g006840	0	-1.66887626930952	1	1
Solyc00g006850	0	-1.66887626930952	1	1
Solyc00g006860	0	-1.66887626930952	1	1
Solyc00g006870	0	-1.66887626930952	1	1
Solyc00g006880	0	-1.66887626930952	1	1
Solyc00g006890	0	-1.66887626930952	1	1
Solyc00g006900	-0.186279820369801	1.57679465276853	0.666200492747176	1
Solyc00g007000	0	-1.66887626930952	1	1
Solyc00g007010	0.499057342569441	3.48661806422225	0.0720841536843571	0.206932826733626
Solyc00g007020	0	-1.66887626930952	1	1
